 Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
kaitangata,96.0,NZ,1595196654.0,79.0,-46.28,169.85,45.0,5.99
dubai,8.0,AE,1595196549.0,37.0,25.26,55.3,100.4,10.29
butaritari,93.0,KI,1595196601.0,77.0,3.07,172.79,83.39,16.84
namibe,0.0,AO,1595196625.0,76.0,-15.2,12.15,67.73,7.05
khani,90.0,GE,1595196655.0,83.0,41.96,42.96,77.0,3.36
zabol,0.0,AF,1595196655.0,24.0,32.25,67.25,67.84,4.92
praxedis guerrero,75.0,MX,1595196655.0,19.0,31.37,-106.02,97.0,12.75
lagoa,11.0,PT,1595196622.0,77.0,39.05,-27.98,69.33,6.08
manokwari,91.0,ID,1595196656.0,72.0,-0.87,134.08,79.9,5.73
bani walid,0.0,LY,1595196656.0,80.0,31.76,13.99,71.26,7.05
geraldton,0.0,AU,1595196293.0,87.0,-28.77,114.6,48.2,9.17
kalianget,9.0,ID,1595196656.0,77.0,-7.05,113.93,79.61,9.71
nikolayevsk-na-amure,88.0,RU,1595196657.0,83.0,53.14,140.73,63.84,3.33
abu kamal,0.0,SY,1595196657.0,17.0,34.45,40.92,86.94,4.97
cabo san lucas,40.0,MX,1595196326.0,38.0,22.89,-109.91,93.2,23.04
colares,10.0,PT,1595196657.0,82.0,38.8,-9.45,66.99,10.0
mount pleasant,1.0,US,1595196375.0,66.0,32.79,-79.86,91.99,10.29
wanning,100.0,CN,1595196658.0,84.0,18.8,110.4,81.37,10.87
clyde river,90.0,CA,1595196658.0,81.0,70.47,-68.59,46.4,9.17
mporokoso,0.0,ZM,1595196658.0,75.0,-9.37,30.12,54.9,8.19
the valley,40.0,AI,1595196533.0,66.0,18.22,-63.06,86.0,13.87
east london,0.0,ZA,1595196589.0,74.0,-33.02,27.91,60.64,9.44
garowe,89.0,SO,1595196659.0,59.0,8.41,48.48,76.5,22.17
yelizavetino,9.0,RU,1595196659.0,72.0,59.49,29.79,64.4,2.24
tchaourou,100.0,BJ,1595196659.0,96.0,8.89,2.6,71.89,2.84
upernavik,74.0,GL,1595196625.0,53.0,72.79,-56.15,49.84,6.93
mollendo,98.0,PE,1595196660.0,75.0,-17.02,-72.01,59.65,6.6
new norfolk,74.0,AU,1595196599.0,86.0,-42.78,147.06,45.0,3.0
okato,1.0,NZ,1595196660.0,78.0,-39.2,173.88,54.0,5.01
san carlos de bariloche,75.0,AR,1595196582.0,81.0,-41.15,-71.31,42.8,4.7
port macquarie,0.0,AU,1595196661.0,98.0,-31.43,152.92,48.99,6.55
atuona,19.0,PF,1595196586.0,72.0,-9.8,-139.03,79.7,15.46
biak,66.0,ID,1595196661.0,82.0,-0.91,122.88,76.69,7.25
punta arenas,75.0,CL,1595196590.0,69.0,-53.15,-70.92,35.6,8.05
chokurdakh,59.0,RU,1595196526.0,45.0,70.63,147.92,71.8,16.75
provideniya,75.0,RU,1595196662.0,66.0,64.38,-173.3,53.6,6.71
codrington,64.0,AU,1595196594.0,79.0,-38.27,141.97,50.56,12.95
marystown,9.0,CA,1595196662.0,85.0,47.17,-55.15,61.14,13.53
faanui,64.0,PF,1595196567.0,83.0,-16.48,-151.75,77.14,20.47
yulara,90.0,AU,1595196663.0,76.0,-25.24,130.99,53.6,10.29
russell,1.0,US,1595196663.0,35.0,32.35,-85.2,98.6,3.36
northport,90.0,US,1595196664.0,50.0,33.23,-87.58,95.0,6.93
barrow,40.0,US,1595196530.0,74.0,71.29,-156.79,37.4,9.17
khargupur,100.0,IN,1595196664.0,93.0,27.38,81.98,78.24,9.44
tari,6.0,NG,1595196664.0,65.0,12.41,4.49,81.19,7.07
saskylakh,47.0,RU,1595196581.0,72.0,71.92,114.08,54.72,10.27
albany,53.0,US,1595196349.0,43.0,42.6,-73.97,93.0,6.04
severo-kurilsk,100.0,RU,1595196665.0,89.0,50.68,156.12,51.24,10.18
davila,20.0,PH,1595196665.0,94.0,18.47,120.58,77.0,3.36
nanning,97.0,CN,1595196666.0,79.0,22.82,108.32,84.2,4.47
oriximina,19.0,BR,1595196666.0,58.0,-1.77,-55.87,82.65,3.42
guiratinga,0.0,BR,1595196666.0,41.0,-16.35,-53.76,74.46,4.65
castro,26.0,BR,1595196529.0,88.0,-24.79,-50.01,59.18,3.49
asyut,2.0,EG,1595196666.0,45.0,27.18,31.18,82.4,6.93
paita,6.0,PE,1595196585.0,78.0,-5.09,-81.11,64.47,17.78
bisira,100.0,PA,1595196667.0,100.0,8.52,-81.71,64.96,1.9
kishapu,46.0,TZ,1595196667.0,57.0,-3.62,33.87,66.11,12.8
katangli,100.0,RU,1595196576.0,91.0,51.71,143.23,56.01,6.2
sandnessjoen,96.0,NO,1595196667.0,76.0,66.02,12.63,55.4,3.36
dikson,100.0,RU,1595196609.0,98.0,73.51,80.55,40.48,14.18
novyy urengoy,62.0,RU,1595196668.0,88.0,66.08,76.63,49.77,14.9
hithadhoo,100.0,MV,1595196598.0,78.0,-0.6,73.08,83.23,17.11
avarua,73.0,CK,1595196580.0,78.0,-21.21,-159.78,75.2,14.99
sikasso,99.0,ML,1595196669.0,87.0,10.92,-7.0,75.13,3.85
zabid,99.0,YE,1595196669.0,50.0,14.2,43.32,88.88,7.36
kamakwie,93.0,SL,1595196669.0,97.0,9.5,-12.23,72.66,5.53
tuktoyaktuk,75.0,CA,1595196602.0,81.0,69.45,-133.04,44.6,3.36
lakatoro,75.0,VU,1595196670.0,73.0,-16.1,167.42,73.4,5.82
mataura,88.0,NZ,1595196578.0,83.0,-46.19,168.86,39.0,3.0
esperance,90.0,AU,1595196595.0,87.0,-33.87,121.9,48.2,4.7
lamu,44.0,KE,1595196671.0,75.0,-2.27,40.9,75.99,19.1
bellavista,40.0,PE,1595196671.0,65.0,-7.06,-76.59,80.6,5.82
acapulco,90.0,MX,1595196372.0,79.0,16.86,-99.89,86.0,8.05
amapa,80.0,BR,1595196618.0,95.0,1.0,-52.0,73.67,1.66
college,75.0,US,1595196629.0,72.0,64.86,-147.8,69.01,3.36
san patricio,40.0,MX,1595196588.0,74.0,19.22,-104.7,87.8,11.41
salinopolis,61.0,BR,1595196672.0,82.0,-0.61,-47.36,79.61,11.56
touros,20.0,BR,1595196615.0,88.0,-5.2,-35.46,77.0,6.93
egvekinot,0.0,RU,1595196673.0,58.0,66.32,-179.17,47.57,6.4
anchorage,75.0,US,1595196673.0,63.0,61.22,-149.9,64.99,4.7
sioux lookout,90.0,CA,1595196673.0,93.0,50.1,-91.92,53.6,14.99
busembatia,70.0,UG,1595196674.0,71.0,0.77,33.61,63.28,1.97
ornskoldsvik,79.0,SE,1595196630.0,87.0,63.29,18.72,59.0,3.36
port elizabeth,0.0,ZA,1595196585.0,100.0,-33.92,25.57,53.6,4.7
faya,40.0,SA,1595196593.0,53.0,18.39,42.45,73.4,4.7
bluff,89.0,NZ,1595196587.0,83.0,-46.6,168.33,39.0,3.0
hermanus,2.0,ZA,1595196581.0,96.0,-34.42,19.23,52.0,1.99
vilyuysk,100.0,RU,1595196675.0,91.0,63.76,121.62,59.9,10.22
marugame,75.0,JP,1595196675.0,94.0,34.28,133.78,79.0,5.82
ivesti,60.0,RO,1595196676.0,79.0,45.68,27.52,66.09,12.19
tena,75.0,EC,1595196676.0,83.0,-0.98,-77.82,71.6,5.82
camrose,100.0,CA,1595196676.0,50.0,53.02,-112.84,72.0,11.01
lasa,40.0,IT,1595196575.0,72.0,46.62,10.7,60.8,3.36
lamar,40.0,US,1595196676.0,44.0,33.67,-95.58,96.01,6.93
birao,100.0,CF,1595196677.0,92.0,10.28,22.79,70.97,2.21
port alfred,0.0,ZA,1595196559.0,77.0,-33.59,26.89,60.37,8.3
nelson bay,8.0,AU,1595196677.0,76.0,-32.72,152.15,54.0,20.8
jacksonville,20.0,US,1595196579.0,59.0,30.33,-81.66,91.99,13.87
lebu,1.0,CL,1595196532.0,88.0,-37.62,-73.65,52.34,11.77
vaini,90.0,TO,1595196600.0,94.0,-21.2,-175.2,68.0,6.93
georgetown,40.0,MY,1595196601.0,100.0,5.41,100.34,78.8,4.97
teofilo otoni,100.0,BR,1595196678.0,88.0,-17.86,-41.51,66.18,4.29
itupiranga,49.0,BR,1595196679.0,43.0,-5.13,-49.33,89.6,3.36
raga,100.0,SS,1595196679.0,94.0,8.46,25.68,67.66,3.78
soyo,43.0,AO,1595196679.0,92.0,-6.13,12.37,71.46,4.36
harnosand,55.0,SE,1595196679.0,100.0,62.63,17.94,63.0,2.24
ozernovskiy,99.0,RU,1595196680.0,91.0,51.5,156.52,50.99,11.27
komsomolskiy,24.0,UZ,1595196680.0,33.0,40.43,71.72,77.0,9.17
ribeira grande,69.0,PT,1595196680.0,75.0,38.52,-28.7,69.39,4.7
arraial do cabo,0.0,BR,1595196603.0,83.0,-22.97,-42.03,71.6,16.11
inuvik,75.0,CA,1595196681.0,66.0,68.35,-133.72,50.0,2.68
salta,4.0,AR,1595196681.0,40.0,-24.79,-65.41,73.4,3.36
saint-philippe,75.0,RE,1595196625.0,72.0,-21.36,55.77,66.2,16.11
ponta do sol,20.0,PT,1595196681.0,64.0,32.67,-17.1,71.6,6.93
kuah,20.0,MY,1595196682.0,94.0,6.33,99.84,78.8,2.24
vila velha,75.0,BR,1595196389.0,94.0,-20.33,-40.29,69.8,3.36
alofi,99.0,NU,1595196580.0,74.0,-19.06,-169.92,78.8,10.29
kavieng,34.0,PG,1595196583.0,75.0,-2.57,150.8,82.35,8.12
port blair,99.0,IN,1595196682.0,78.0,11.67,92.75,80.71,2.59
inirida,87.0,CO,1595196683.0,91.0,3.87,-67.92,79.39,1.54
tabuk,1.0,PH,1595196683.0,85.0,17.42,121.44,73.15,3.83
dayong,100.0,CN,1595196683.0,83.0,25.02,118.29,82.4,6.71
charters towers,85.0,AU,1595196683.0,84.0,-20.1,146.27,59.13,4.34
qaanaaq,99.0,GL,1595196588.0,69.0,77.48,-69.36,47.59,1.74
hasaki,75.0,JP,1595196684.0,94.0,35.73,140.83,75.99,4.7
te anau,100.0,NZ,1595196576.0,86.0,-45.42,167.72,43.81,1.34
kandrian,43.0,PG,1595196684.0,87.0,-6.22,149.55,79.02,9.06
boende,67.0,CD,1595196685.0,79.0,-0.22,20.87,72.21,1.07
matara,87.0,LK,1595196685.0,87.0,5.95,80.54,78.12,8.01
ambilobe,20.0,MG,1595196581.0,67.0,-13.2,49.05,67.28,5.59
smithers,40.0,CA,1595196686.0,52.0,54.78,-127.17,69.8,4.7
kurilsk,71.0,RU,1595196623.0,89.0,45.23,147.88,58.41,2.24
siva,0.0,EG,1595196686.0,48.0,29.2,25.52,79.7,11.48
manggar,88.0,ID,1595196686.0,81.0,-2.88,108.27,80.91,10.45
antalya,0.0,TR,1595196686.0,83.0,36.77,30.72,78.8,3.83
saint-augustin,60.0,CA,1595196686.0,52.0,51.23,-58.65,74.75,12.24
takehara,75.0,JP,1595196687.0,94.0,34.34,132.92,75.2,3.36
leningradskiy,55.0,RU,1595196687.0,73.0,69.38,178.42,39.85,6.85
pevek,0.0,RU,1595196594.0,56.0,69.7,170.31,47.08,5.06
swidwin,100.0,PL,1595196687.0,75.0,53.77,15.78,66.0,7.72
akdepe,0.0,TM,1595196688.0,41.0,42.06,59.38,86.0,4.7
honiara,75.0,SB,1595196621.0,88.0,-9.43,159.95,77.0,2.62
san andres,40.0,CO,1595196688.0,70.0,12.58,-81.7,87.8,11.41
moroni,76.0,KM,1595196688.0,69.0,-11.7,43.26,74.37,8.86
qeshm,3.0,IR,1595196689.0,71.0,26.96,56.27,93.2,6.93
jiayuguan,99.0,CN,1595196689.0,23.0,39.82,98.3,70.07,1.61
tuatapere,94.0,NZ,1595196689.0,83.0,-46.13,167.68,39.0,3.0
tasiilaq,0.0,GL,1595196689.0,76.0,65.61,-37.64,50.0,9.17
bethel,1.0,US,1595196530.0,52.0,41.37,-73.41,90.0,12.75
yaring,37.0,TH,1595196690.0,88.0,6.87,101.37,78.12,4.27
arman,84.0,RU,1595196690.0,58.0,59.7,150.17,62.17,6.58
yar-sale,0.0,RU,1595196690.0,86.0,66.83,70.83,46.6,8.41
khatanga,97.0,RU,1595196593.0,78.0,71.97,102.5,51.62,4.14
jiaojiang,99.0,CN,1595196690.0,95.0,28.68,121.44,82.99,5.46
port hedland,0.0,AU,1595196691.0,63.0,-20.32,118.57,60.8,10.29
haines junction,100.0,CA,1595196589.0,44.0,60.75,-137.51,65.91,8.95
nome,75.0,US,1595196585.0,62.0,64.5,-165.41,55.4,5.82
gairo,40.0,IT,1595196691.0,88.0,39.85,9.5,75.2,10.29
lorengau,70.0,PG,1595196588.0,72.0,-2.02,147.27,82.81,8.23
beira,20.0,MZ,1595196692.0,83.0,-19.84,34.84,69.8,8.05
waipawa,93.0,NZ,1595196584.0,81.0,-41.41,175.52,54.0,6.93
novikovo,39.0,RU,1595196692.0,86.0,51.15,37.89,59.54,2.66
vagur,75.0,FO,1595196692.0,80.0,61.47,-6.81,49.32,13.11
phulji,49.0,PK,1595196693.0,53.0,26.88,67.68,94.69,15.5
grand gaube,43.0,MU,1595196693.0,69.0,-20.01,57.66,68.0,8.01
saldanha,0.0,ZA,1595196693.0,87.0,-33.01,17.94,48.2,2.24
alugan,69.0,PH,1595196693.0,77.0,12.22,125.48,81.75,3.4
nuuk,67.0,GL,1595196695.0,36.0,64.18,-51.72,60.8,4.7
kruisfontein,0.0,ZA,1595196618.0,44.0,-34.0,24.73,52.34,4.45
elko,1.0,US,1595196695.0,9.0,41.0,-115.5,96.8,5.82
port hawkesbury,90.0,CA,1595196696.0,83.0,45.62,-61.35,77.0,4.7
carbonia,0.0,IT,1595196696.0,78.0,39.17,8.52,75.99,2.24
tokur,97.0,RU,1595196697.0,76.0,53.13,132.9,69.17,3.0
san lawrenz,20.0,MT,1595196697.0,83.0,36.06,14.2,77.0,5.82
half moon bay,90.0,US,1595196607.0,77.0,37.46,-122.43,75.0,6.93
pudozh,0.0,RU,1595196698.0,63.0,61.81,36.53,56.95,3.36
cacapava do sul,20.0,BR,1595196698.0,99.0,-30.51,-53.49,64.89,4.56
bonthe,100.0,SL,1595196698.0,88.0,7.53,-12.51,76.68,8.97
gizo,14.0,SB,1595196699.0,75.0,-8.1,156.84,81.41,4.68
marzuq,35.0,YE,1595196596.0,50.0,14.4,46.47,77.92,3.53
mabay,100.0,PH,1595196699.0,80.0,6.06,124.47,77.97,4.7
grand baie,24.0,MU,1595196616.0,69.0,-20.02,57.58,68.0,8.01
mahibadhoo,100.0,MV,1595196700.0,80.0,3.78,72.97,81.54,24.99
petropavlovsk-kamchatskiy,27.0,RU,1595196596.0,72.0,53.05,158.65,62.6,4.47
kavaratti,100.0,IN,1595196623.0,80.0,10.57,72.64,81.3,14.56
borba,53.0,BR,1595196701.0,61.0,-4.39,-59.59,82.18,1.97
banjar,75.0,ID,1595196701.0,100.0,-8.19,114.97,78.8,13.87
haldensleben,75.0,DE,1595196702.0,76.0,52.29,11.41,68.0,6.24
santa maria,56.0,BR,1595196545.0,74.0,-29.68,-53.81,71.56,8.48
polunochnoye,55.0,RU,1595196702.0,82.0,60.87,60.42,57.9,8.25
thompson,75.0,CA,1595196585.0,36.0,55.74,-97.86,77.0,4.7
torbay,20.0,CA,1595196576.0,46.0,47.67,-52.73,73.4,10.29
dukhovnitskoye,0.0,RU,1595196703.0,84.0,52.48,48.21,63.3,4.12
shubarshi,0.0,KZ,1595196703.0,40.0,48.59,57.19,76.33,6.55
mitsamiouli,65.0,KM,1595196704.0,68.0,-11.38,43.28,76.57,8.43
macenta,47.0,GN,1595196704.0,97.0,8.54,-9.47,68.27,1.74
gongzhuling,100.0,CN,1595196705.0,94.0,43.5,124.82,63.63,3.06
kudahuvadhoo,100.0,MV,1595196599.0,77.0,2.67,72.89,83.05,22.91
baoning,75.0,CN,1595196705.0,100.0,25.34,110.03,75.2,4.47
katsuura,75.0,JP,1595196608.0,100.0,35.13,140.3,78.01,4.7
shingu,100.0,JP,1595196706.0,81.0,33.73,135.98,76.98,4.03
buala,62.0,SB,1595196631.0,74.0,-8.14,159.59,82.26,5.14
san juan de la maguana,75.0,DO,1595196706.0,74.0,18.81,-71.23,86.0,16.11
nikolskoye,3.0,RU,1595196614.0,72.0,59.7,30.79,64.4,2.24
mar del plata,90.0,AR,1595196594.0,100.0,-38.0,-57.56,51.8,13.87
vao,8.0,NC,1595196707.0,69.0,-22.67,167.48,69.37,12.97
roma,20.0,US,1595196546.0,55.0,43.21,-75.46,89.6,5.82
longyearbyen,75.0,SJ,1595196530.0,87.0,78.22,15.64,44.6,12.75
luau,0.0,AO,1595196708.0,45.0,-10.71,22.22,56.37,5.1
shimoda,100.0,JP,1595196590.0,83.0,34.67,138.95,77.41,2.42
hvolsvollur,80.0,IS,1595196709.0,79.0,63.75,-20.22,50.0,8.99
zheshart,0.0,RU,1595196709.0,81.0,62.07,49.57,54.93,6.2
ihosy,14.0,MG,1595196709.0,90.0,-22.4,46.12,52.16,9.95
vanavara,14.0,RU,1595196530.0,89.0,60.34,102.28,46.29,1.7
singaraja,9.0,ID,1595196346.0,74.0,-8.11,115.09,77.88,3.38
kuhdasht,0.0,IR,1595196545.0,18.0,33.53,47.61,75.6,3.98
coquimbo,100.0,CL,1595196533.0,82.0,-29.95,-71.34,57.2,8.05
xihe,64.0,CN,1595196711.0,91.0,31.69,113.47,69.17,0.98
huarmey,91.0,PE,1595196582.0,72.0,-10.07,-78.15,64.96,10.29
whyalla,90.0,AU,1595196711.0,81.0,-33.03,137.58,46.4,3.36
graaff-reinet,0.0,ZA,1595196711.0,20.0,-32.25,24.53,54.0,1.99
kloulklubed,75.0,PW,1595196695.0,94.0,7.04,134.26,75.2,7.36
nalut,0.0,LY,1595196612.0,49.0,30.33,10.85,78.6,25.37
linfen,0.0,CN,1595196627.0,57.0,36.09,111.52,75.27,1.36
pemba,20.0,MZ,1595196714.0,78.0,-12.97,40.52,73.4,11.41
hastings,72.0,GB,1595196564.0,99.0,50.86,0.57,57.0,1.99
natal,40.0,BR,1595196714.0,83.0,-5.79,-35.21,78.8,9.17
north bend,1.0,US,1595196715.0,77.0,43.41,-124.22,75.99,26.4
mastic beach,1.0,US,1595196716.0,66.0,40.77,-72.85,84.99,11.41
iqaluit,90.0,CA,1595196716.0,100.0,63.75,-68.51,42.8,8.05
onokhino,20.0,RU,1595196717.0,83.0,56.92,65.54,69.8,8.95
aswan,34.0,EG,1595196717.0,15.0,24.09,32.91,89.31,7.49
sao gotardo,0.0,BR,1595196717.0,70.0,-19.31,-46.05,62.01,1.99
manaure,48.0,CO,1595196718.0,58.0,11.78,-72.44,88.65,13.67
zaysan,99.0,KZ,1595196718.0,49.0,47.47,84.87,71.85,6.82
hovd,24.0,MN,1595196581.0,65.0,48.01,91.64,62.49,0.43
xining,97.0,CN,1595196719.0,60.0,36.62,101.77,51.17,2.33
takestan,19.0,IR,1595196586.0,67.0,36.07,49.7,71.64,4.14
pimenta bueno,40.0,BR,1595196719.0,43.0,-11.67,-61.19,83.84,1.86
new london,1.0,US,1595196459.0,69.0,41.36,-72.1,87.01,12.75
tagusao,100.0,PH,1595196720.0,77.0,9.19,117.81,80.01,4.16
cuauhtemoc,73.0,MX,1595196720.0,52.0,28.42,-106.87,75.99,3.0
chuy,94.0,UY,1595196586.0,86.0,-33.7,-53.46,65.71,7.23
vama,100.0,RO,1595196720.0,10.0,47.57,25.68,64.0,0.54
pangnirtung,100.0,CA,1595196721.0,50.0,66.15,-65.71,60.73,3.02
cantaura,56.0,VE,1595196721.0,71.0,9.31,-64.36,82.99,2.46
itarema,44.0,BR,1595196612.0,76.0,-2.92,-39.92,77.56,13.42
quibor,83.0,VE,1595196721.0,41.0,9.93,-69.62,93.2,12.75
seoul,90.0,KR,1595196722.0,94.0,37.57,126.98,78.8,20.8
pamyat parizhskoy kommuny,75.0,RU,1595196722.0,100.0,56.1,44.5,61.0,4.47
la paz,4.0,BO,1595196722.0,12.0,-16.5,-68.15,60.8,9.17
hermiston,1.0,US,1595196723.0,23.0,45.84,-119.29,95.0,5.82
ritchie,0.0,ZA,1595196723.0,28.0,-29.04,24.6,42.8,6.93
ottawa,75.0,CA,1595196492.0,83.0,45.41,-75.7,81.0,17.22
khirkiya,70.0,IN,1595196723.0,83.0,22.17,76.86,80.33,9.95
asau,100.0,RO,1595196719.0,98.0,46.43,26.4,60.01,3.13
jaisinghnagar,100.0,IN,1595196724.0,83.0,23.7,81.38,78.66,5.86
aginskoye,100.0,RU,1595196724.0,88.0,51.1,114.53,48.34,20.92
knyaginino,61.0,RU,1595196724.0,95.0,55.82,45.03,57.09,6.35
corat,0.0,AZ,1595196725.0,83.0,40.57,49.71,80.6,2.24
merritt island,75.0,US,1595196725.0,70.0,28.54,-80.67,88.0,8.05
omaruru,0.0,NA,1595196725.0,38.0,-21.43,15.93,53.35,10.04
askarovo,40.0,RU,1595196725.0,82.0,53.34,58.51,66.2,8.95
bengkulu,42.0,ID,1595196345.0,91.0,-3.8,102.27,75.72,5.39
alamosa,1.0,US,1595196592.0,21.0,37.47,-105.87,80.6,9.17
esil,0.0,KZ,1595196726.0,56.0,51.96,66.4,72.32,6.13
hirara,40.0,JP,1595196726.0,88.0,24.8,125.28,80.6,5.82
gat,0.0,IL,1595196614.0,67.0,31.61,34.76,80.01,2.46
southbridge,31.0,US,1595196641.0,51.0,42.08,-72.03,91.99,3.0
formosa do rio preto,38.0,BR,1595196727.0,53.0,-11.05,-45.19,71.73,5.44
victoria,100.0,HK,1595196533.0,83.0,22.29,114.16,84.0,10.0
mount gambier,48.0,AU,1595196728.0,93.0,-37.83,140.77,44.6,5.82
liberty,40.0,US,1595196728.0,50.0,31.83,-81.5,95.0,11.41
ancud,75.0,CL,1595196728.0,93.0,-41.87,-73.82,50.0,6.93
barabai,58.0,ID,1595196728.0,94.0,-2.58,115.38,72.59,1.57
broken arrow,75.0,US,1595196728.0,49.0,36.05,-95.79,96.01,11.41
taltal,51.0,CL,1595196729.0,74.0,-25.4,-70.48,58.39,1.59
omsukchan,3.0,RU,1595196729.0,59.0,62.53,155.8,59.92,4.14
araouane,37.0,ML,1595196729.0,24.0,18.9,-3.53,98.71,7.23
homer,90.0,US,1595196729.0,87.0,59.64,-151.55,57.2,4.63
valparaiso,75.0,CL,1595196730.0,100.0,-33.04,-71.63,57.2,5.82
krasnoselkup,100.0,RU,1595196730.0,77.0,65.7,82.47,52.65,10.42
qujing,100.0,CN,1595196730.0,93.0,25.48,103.78,59.02,1.1
palmerston,20.0,AU,1595196731.0,88.0,-12.49,130.98,71.01,3.36
roros,100.0,NO,1595196733.0,100.0,62.57,11.38,51.8,3.36
takoradi,7.0,GH,1595196734.0,90.0,4.88,-1.76,75.29,7.29
cap malheureux,33.0,MU,1595196735.0,69.0,-19.98,57.61,68.0,8.01
luderitz,0.0,NA,1595196582.0,26.0,-26.65,15.16,69.8,9.17
salalah,75.0,OM,1595196572.0,88.0,17.02,54.09,80.6,2.24
melo,100.0,UY,1595196735.0,84.0,-32.37,-54.18,68.58,6.69
ewa beach,75.0,US,1595196736.0,55.0,21.32,-158.01,87.8,6.93
pitimbu,20.0,BR,1595196736.0,88.0,-7.47,-34.81,77.0,6.93
bathsheba,20.0,BB,1595196736.0,62.0,13.22,-59.52,86.0,13.87
halifax,100.0,CA,1595196729.0,92.0,44.65,-63.57,69.01,7.38
pisco,37.0,PE,1595196737.0,72.0,-13.7,-76.22,66.2,17.22
gondanglegi,0.0,ID,1595196737.0,82.0,-7.75,112.01,74.84,14.79
reo,44.0,BF,1595196738.0,63.0,12.32,-2.47,82.85,9.95
lichinga,1.0,MZ,1595196738.0,87.0,-13.31,35.24,51.4,8.81
kirakira,11.0,SB,1595196738.0,80.0,-10.45,161.92,80.73,7.61
kushiro,68.0,JP,1595196739.0,91.0,42.98,144.37,64.76,3.71
khor,94.0,RU,1595196625.0,92.0,47.89,134.95,72.14,3.49
mehamn,100.0,NO,1595196740.0,85.0,71.04,27.85,52.66,6.02
zhangye,100.0,CN,1595196740.0,25.0,38.93,100.45,72.72,3.56
kiruna,96.0,SE,1595196741.0,93.0,67.86,20.23,53.6,4.7
port antonio,75.0,JM,1595196741.0,70.0,18.18,-76.46,86.0,18.34
aykhal,90.0,RU,1595196742.0,100.0,66.0,111.5,53.6,8.95
hualmay,49.0,PE,1595196742.0,74.0,-11.1,-77.61,63.97,11.01
saint george,1.0,US,1595196743.0,7.0,37.1,-113.58,107.01,12.75
gamba,71.0,GA,1595196743.0,84.0,-2.65,10.0,72.64,5.66
chapais,75.0,CA,1595196743.0,73.0,49.78,-74.85,75.2,11.41
hambantota,75.0,LK,1595196623.0,100.0,6.12,81.12,77.0,4.7
kitimat,69.0,CA,1595196654.0,64.0,54.05,-128.65,73.0,1.01
ouadda,100.0,CF,1595196723.0,96.0,8.08,22.4,65.71,3.74
hervey bay,0.0,AU,1595196611.0,92.0,-25.3,152.85,55.99,5.99
olga,98.0,RU,1595196745.0,88.0,43.74,135.29,63.5,0.74
moron,99.0,AR,1595196745.0,83.0,-34.65,-58.62,69.8,4.7
that phanom,100.0,TH,1595196746.0,99.0,16.94,104.71,80.01,3.15
pemangkat,73.0,ID,1595196746.0,84.0,1.17,108.97,75.78,4.34
tete,20.0,MZ,1595196746.0,72.0,-16.16,33.59,68.0,6.93
nantucket,90.0,US,1595196449.0,94.0,41.28,-70.1,72.0,10.29
rindal,100.0,NO,1595196608.0,87.0,63.06,9.21,53.6,4.7
mahebourg,40.0,MU,1595196747.0,82.0,-20.41,57.7,68.0,12.75
tofield,100.0,CA,1595196747.0,50.0,53.37,-112.67,72.0,11.01
